,name,id,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector,all_in_index,final_scene_size,drama_change_rate,averageCharinScene,avg_max_degree_ratio,max_degree_num_char_ratio,lowWeightedDegree,mediumWeightedDegree,highWeightedDegree,averageCharSpeech,lowSpeech,mediumSpeech,highSpeech,protagonism,mediateness
299,massinger-the-bondman,ep000164,Comedy,1623,17,0.9235078646843354,0.8676470588235294,1.1323529411764706,13.882352941176473,2,16,17,5,12,0,0,1,118,17,5,22318,21469,430,0,2934,0.008823529411764704,0.8961023088285882,0.23933391679394933,0.9375,0.6363636363636364,0.8226351426351428,6.0,0.8676470588235294,1.0,0.35294117647058826,0.23529411764705882,0.4117647058823529,25.73676722769695,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.003837809996548527,0.5067915491066072
300,massinger-the-city-madam,ep000628,Comedy,1632,33,0.8839575308159198,0.553030303030303,1.4829545454545454,17.696969696969695,3,29,33,6,24,0,0,1,292,16,5,21231,20749,533,3,2803,0.015579178885630497,0.7004236723381579,0.15889693157927157,1.0,0.48,0.7813390313390314,8.0,0.6102403343782654,0.90625,0.3333333333333333,0.30303030303030304,0.36363636363636365,15.627511909692364,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.010917042274567829,0.5930316628796206
301,massinger-the-duke-of-milan,ep000165,Tragedy,1621,25,0.8794962330411247,0.5466666666666666,1.4933333333333334,13.12,3,21,25,5,20,0,0,1,164,10,5,23016,22272,246,1,2985,0.02144927536231884,0.6933988332504957,0.18307324515263723,0.7142857142857143,0.3181818181818182,0.7789021875560338,8.0,0.6247619047619047,0.875,0.28,0.36,0.36,26.36593109622144,0.0,0.0,0.0,0.011968889841690939,0.6510799943287706
302,massinger-the-emperor-of-the-east,ep000166,Tragicomedy,1631,22,0.8887182863576052,0.6623376623376623,1.3463203463203464,13.909090909090908,3,19,22,6,16,0,0,1,153,14,5,22337,20420,422,11,2814,0.017316017316017316,0.7649910512366306,0.20199883207277716,0.5,0.3888888888888889,0.8021127021127021,7.0,0.7320574162679425,0.9047619047619048,0.2727272727272727,0.36363636363636365,0.36363636363636365,26.24577562703544,0.3181818181818182,0.3181818181818182,0.36363636363636365,0.01276054092283259,0.5439210315840901
303,massinger-the-great-duke-of-florence,ep000167,Tragicomedy,1627,18,0.8237876321209655,0.6535947712418301,1.34640522875817,11.11111111111111,2,16,18,4,14,0,0,1,100,10,5,20525,19883,331,0,2725,0.021650326797385617,0.7587833939919739,0.2282768459308411,1.0,0.8260869565217391,0.44566993464052285,7.0,0.6944444444444444,0.9411764705882353,0.2777777777777778,0.3888888888888889,0.3333333333333333,21.661413148153684,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.005259542431201211,0.5784572566302918
304,massinger-the-guardian,ep000631,Comedy,1633,23,0.9388410963858532,0.9090909090909092,1.0909090909090908,20.0,2,22,23,5,18,0,1,1,230,5,5,22231,21383,396,0,2788,0.004329004329004329,0.9254065922050303,0.2073077413141521,1.0,0.48148148148148145,0.8297634657009657,14.0,0.9090909090909091,1.0,0.2608695652173913,0.30434782608695654,0.43478260869565216,21.355773563790695,0.34782608695652173,0.30434782608695654,0.34782608695652173,0.004058899620775282,0.2960539565675069
305,massinger-the-maid-of-honour,ep000168,Comedy,1621,27,0.8554045264829578,0.5014245014245015,1.603988603988604,13.037037037037036,3,21,27,3,24,0,0,1,176,17,5,20926,20161,441,0,2791,0.02415954415954416,0.6498799599460748,0.17513712213873261,0.4117647058823529,0.6111111111111112,0.8786864177489178,6.0,0.6208112874779541,0.8076923076923077,0.18518518518518517,0.4444444444444444,0.37037037037037035,25.451698661042233,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.013594502047528453,0.8414616791599745
306,massinger-the-picture,ep000170,Tragicomedy,1629,18,0.8361188194521528,0.6797385620915033,1.326797385620915,11.555555555555555,3,16,18,4,14,0,0,1,104,17,5,24266,22549,493,0,3105,0.020424836601307186,0.7734324491055281,0.22691632402369424,0.92,0.15789473684210525,0.8647026584526585,5.0,0.7222222222222222,0.9411764705882353,0.3333333333333333,0.2222222222222222,0.4444444444444444,22.531067662038666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0037665721651664054,0.5808732165970842
307,massinger-the-renegado,ep000171,Comedy,1624,19,0.867018293024485,0.672514619883041,1.327485380116959,12.105263157894736,2,18,19,3,16,0,0,1,115,25,5,21968,19907,512,4,2736,0.019263845889232887,0.7732991560636948,0.21901377661467553,1.0,0.36,0.6988794049088166,5.0,0.672514619883041,1.0,0.3157894736842105,0.15789473684210525,0.5263157894736842,22.370343348201153,0.3157894736842105,0.3157894736842105,0.3684210526315789,0.007806515356044869,0.7745825510487154
308,massinger-the-roman-actor,ep000172,Tragedy,1626,25,0.8796268064954296,0.6133333333333333,1.3866666666666667,14.72,2,24,25,4,21,0,0,1,184,11,5,20533,19054,491,0,2575,0.01681159420289855,0.7401066523687088,0.1884625573449048,1.0,0.48,0.78037705758294,8.0,0.6133333333333334,1.0,0.32,0.32,0.36,28.968545939674442,0.32,0.32,0.36,0.006787281258101165,0.5736121170004539
