,name,id,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector,all_in_index,final_scene_size,drama_change_rate,averageCharinScene,avg_max_degree_ratio,max_degree_num_char_ratio,lowWeightedDegree,mediumWeightedDegree,highWeightedDegree,averageCharSpeech,lowSpeech,mediumSpeech,highSpeech,protagonism,mediateness
11,armand-cri-nature,fre000055,Comedy,1669,8,0.9404761904761906,0.9285714285714286,1.0714285714285714,6.5,2.0,7.0,8,3,3,2,0,1.0,26.0,14,1,9017,8548,313,0,1007,0.011904761904761906,0.9409722222222222,0.3522552353359203,0.6428571428571429,0.625,0.5054945054945055,3.0,0.9285714285714286,1.0,0.375,0.25,0.375,36.22394964691869,0.375,0.25,0.375,0.0,0.4472135954999579
12,aubignac-pucelle-prose,fre000060,Tragedy,1642,13,0.713924963924964,0.5641025641025641,1.5,6.769230769230769,3.0,11.0,13,1,4,8,0,1.0,44.0,32,0,20312,17672,271,255,0,0.045454545454545456,0.6958548040829536,0.253672887675716,0.65625,0.15384615384615385,0.7028161802355352,3.0,0.6153846153846154,0.9166666666666666,0.3076923076923077,0.3076923076923077,0.38461538461538464,57.986658928205756,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.014955701977196255,0.7675640500435627
13,aubignac-pucelle,fre000059,Tragedy,1642,15,0.7318622118622119,0.5619047619047619,1.5047619047619047,7.866666666666666,3.0,13.0,15,1,4,10,0,1.0,59.0,32,5,16009,15498,146,0,1720,0.03882783882783883,0.6944759376417742,0.23622023131745126,0.65625,0.13333333333333333,0.716561932690965,3.0,0.6051282051282051,0.9285714285714286,0.3333333333333333,0.3333333333333333,0.3333333333333333,52.64391979137947,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.011672159496650654,0.7729069027187127
14,aure-dipne,fre000067,Tragedy,1668,15,0.7199470899470899,0.4857142857142857,1.542857142857143,6.8,3.0,10.0,15,2,11,2,0,1.0,51.0,28,5,23163,19170,87,0,2257,0.04175824175824176,0.6549320998520083,0.2513186026521771,0.6428571428571429,0.13333333333333333,0.571604938271605,3.0,0.6799999999999999,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.3333333333333333,33.207455469533855,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.003299180696891062,0.6921561640627669
15,aure-genevieve-69,fre000068,Tragedy,1669,22,0.7937229437229437,0.2121212121212121,1.1090909090909091,4.454545454545454,2.0,7.0,22,8,0,14,0,6.0,49.0,38,5,22864,21478,1391,0,2386,0.028787878787878786,0.8052197802197802,0.27353652099079245,0.7894736842105263,0.18181818181818182,0.6783783783783786,2.0,0.6363636363636364,0.3333333333333333,0.3181818181818182,0.3181818181818182,0.36363636363636365,41.031025219178275,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.003299180696891062,0.6291982286679645
16,aure-genevieve-70,fre000069,Tragedy,1670,12,0.8430555555555553,0.7272727272727273,1.2878787878787878,8.0,3.0,10.0,12,5,7,0,0,1.0,48.0,26,5,23735,22523,164,0,2694,0.0,0.05454545454545455,0.15745942769075824,0.7692307692307693,0.75,0.5813333333333334,3.0,0.8,0.9090909090909091,0.3333333333333333,0.25,0.4166666666666667,35.057245541187825,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.005598054848073079,0.9036517352824911
17,baptiste-du-moutier-mascara-de-foire-saint-germain,fre000072,0,1685,11,0.2727272727272727,0.0545454545454545,1.0,0.5454545454545454,1.0,2.0,11,2,8,1,0,9.0,3.0,10,1,866,664,0,0,76,0.03037766830870279,0.5586643891475938,0.14322856310634696,1.0,0.09090909090909091,0.8888888888888888,1.0,0.2727272727272727,0.2,0.0,0.0,1.0,46.0,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.039999908007084285,0.0
18,barante-arlequin-misanthrope,fre000075,Comedy,1696,29,0.7634920634920636,0.1798029556650246,1.8201970443349755,5.0344827586206895,2.0,28.0,29,4,12,13,0,1.0,73.0,23,4,19779,19371,397,663,222,0.05011655011655012,0.6796366481815398,0.24772533267101127,1.0,0.3103448275862069,0.7371359700905156,3.0,0.17980295566502463,1.0,0.1724137931034483,0.4482758620689655,0.3793103448275862,23.66331021133526,0.3448275862068966,0.3103448275862069,0.3448275862068966,0.024575740127990728,0.9996662333354698
19,barante-dufresny-fees,fre000073,Comedy,1694,13,0.6692307692307692,0.5512820512820513,1.551282051282051,6.615384615384615,3.0,10.0,13,3,4,6,0,1.0,43.0,7,0,4045,3842,200,87,120,0.04702380952380953,0.620885034615853,0.23023864003117667,1.0,0.6923076923076923,0.8527777777777779,3.0,0.6615384615384615,0.8333333333333334,0.3076923076923077,0.0,0.6923076923076923,63.52350427350427,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.010597309181166938,0.6049494651800981
20,barante-dufresny-pasquin-marforio,fre000074,Comedy,1697,16,0.829235347985348,0.3416666666666667,1.6583333333333334,5.125,2.0,15.0,16,5,6,5,0,1.0,41.0,20,3,10842,10577,410,250,469,0.11666666666666665,0.5443713380441069,0.27623075470811725,1.0,0.3125,0.6456140350877194,3.0,0.3416666666666667,1.0,0.3125,0.25,0.4375,29.283543223800578,0.3125,0.3125,0.375,0.01108918532995078,0.857276237665965
