id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource/0,digitalSource/1,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
fre000708,gilbert-telephonte,gilbert-telephonte,,Tragicomedy,false,Gilbert,Téléphonte,Tragi-Comédie,0,philoclee,22,5,12,8,4,0,0,0,1642,,14738,14374,0,,1645,1662,1645,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/GILBERT_TELEPHONTE.xml,http://theatre-classique.fr/pages/documents/GILBERT_TELEPHONTE.xml,,,,,3.3333333333333335,0.30303030303030304,0.6027777777777777,12,6,1,20,4,2.1515151515151514
ita######,giusti-irene,giusti-irene,,Tragedy,false,Giusti,Irene,,0,choro,5,5,12,8,4,0,2,0,2122,,14572,14465,61,,,1579,1579,https://archive.org/details/bub_gb_hI7QteR5VG4C,,,,,,6.5,0.5909090909090909,0.7759559884559885,12,11,1,39,2,1.4090909090909092
ita######,graziani-cromuele,graziani-cromuele,,Tragedy,false,Graziani,Il Cromuele,,0,henrico,50,5,14,9,5,0,0,0,5074,,32370,31961,175,,,1671,1671,https://books.google.de/books?id=tFqzcNiPAw0C,,,,,,5.714285714285714,0.43956043956043955,0.7286281179138322,14,10,1,40,3,1.6703296703296704
ger000547,gryphius-absurda-comica-oder-herr-peter-squentz,gryphius-absurda-comica-oder-herr-peter-squentz,Q333566,Comedy,false,Gryphius,Absurda Comica oder Herr Peter Squentz,Schimpff-Spiel,0,several characters,3,3,14,11,3,0,0,266,476,0,9535,9162,562,1648/1650,,1658,1658,http://www.textgridrep.org/textgrid:p8vz.0,,,,,,11,0.8461538461538461,0.9358974358974359,14,13,1,77,2,1.1538461538461537
ger000538,gryphius-cardenio-und-celinde,gryphius-cardenio-und-celinde,Q42187675,Tragedy,false,Gryphius,Cardenio und Celinde oder Unglücklich Verliebete,Trauerspiel,0,cardenio,5,5,17,11,3,3,1,0,2069,0,19774,17542,214,1650,1661,1657,1657,http://www.textgridrep.org/textgrid:p7m9.0,,,,,,9.176470588235293,0.5735294117647058,0.8663042839513428,17,15,1,78,3,1.4411764705882353
ita000091,guarini-la-idropica,guarini-la-idropica,Q84173937,Comedy,false,Guarini,La idropica,,0,grillo|patrizio|moschetta,50,5,18,13,5,0,0,1460,17,0,37324,35743,149,1584,1608,1613,1584,http://www.bibliotecaitaliana.it/testo/bibit000722,,Unione tipografico-editrice torinese,Torino,1971,,6.111111111111111,0.35947712418300654,0.6792667209333876,18,13,1,55,3,1.7124183006535947
ita000092,guidi-endimione,guidi-endimione,Q84174674,,false,Guidi,Endimione,,0,amore|cintia|endimione,5,5,5,2,2,1,2,0,1215,0,8005,6981,0,1688,1691,1692,1691,http://www.bibliotecaitaliana.it/testo/bibit000070,,Longo,Ravenna,1981,,3.6,0.9,0.9,5,4,1,9,2,1.1
ger######,hallmann-liberata,hallmann-liberata,,Tragedy,false,Hallmann,Liberata,,0,alphonsus,59,5,24,12,6,6,1,88,2108,,21393,18108,651,,1699,1700,1699,http://www.textgridrep.org/textgrid:pj26.0,,,,,,4.083333333333333,0.17753623188405798,0.47390873015873014,24,14,4,49,4,2.104761904761905
ger######,hallmann-sophia,hallmann-sophia,,Tragedy,false,Hallmann,Sophia,,0,tod,26,5,72,32,13,26,4,0,2247,,21906,19170,781,,1671,1671,1671,http://www.textgridrep.org/textgrid:pj21.0,,,,,,11.11111111111111,0.1564945226917058,0.9200186117993022,72,26,5,400,4,1.948015122873346
fre000755,hardy-meleagre,hardy-meleagre,,Tragedy,false,Hardy,Méléagre,Tragédie,0,meleagre,12,0,19,12,4,3,4,0,1257,,10989,10563,44,,1604,1604,1604,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/HARDY_MELEAGRE.xml,http://theatre-classique.fr/pages/documents/HARDY_MELEAGRE.xml,,,,,6.421052631578948,0.3567251461988304,0.8199376646745067,19,14,1,61,4,1.8011695906432748
ger######,hayneccius-hans-pfriem,hayneccius-hans-pfriem,,,false,Hayneccius,Hans Pfriem,,0,hans_pfriem,26,5,14,11,3,0,0,272,2234,,19883,16120,82,,,1582,1582,http://www.textgridrep.org/textgrid:pkjk.0,,,,,,4.142857142857143,0.31868131868131866,0.7518552875695733,14,11,1,29,3,1.7802197802197801
ger######,hollonius-somnium-vitae-humanae,hollonius-somnium-vitae-humanae,,Comedy,false,Hollonius,Somnium Vitae Humanae,,0,reinart,24,5,48,45,3,0,0,0,1414,,12655,8966,356,,,1605,1605,http://www.textgridrep.org/textgrid:qfx0.0,,,,,,8.208333333333334,0.17464539007092197,0.730718231322914,48,19,1,197,5,2.4175531914893615
ep000108,jonson-every-man-out-of-his-humour,jonson-every-man-out-of-his-humour,Q690716,Comedy,false,Jonson,Every Man Out of His Humour,,0,several characters,18,5,36,32,3,1,2,1465,730,0,41815,38883,767,1599,,,1599,https://texts.earlyprint.org/works/A04648.xml,,,,,,35,1,1,36,35,1,630,1,1
ger######,krueger-anfang-ende-welt,krueger-anfang-ende-welt,,,false,Krüger,Von dem Anfang und Ende der Welt,,0,jesus_christus,25,6,50,37,5,8,3,0,2922,,20192,18339,807,,,1580,1580,http://www.textgridrep.org/textgrid:r2qz.0,,,,,,8.56,0.17469387755102042,0.7993152940596744,50,23,1,214,4,2.2816326530612243
cal000036,la-segunda-esposa,la-segunda-esposa,,,false,Calderón,La segunda esposa,Auto sacramental alegórico,0,several characters,1,1,13,8,5,0,0,0,1566,,8366,7813,779,1648,,1759,1648,http://www.cervantesvirtual.com/obra-visor/la-segunda-esposa--0/html/,,,,,,12,1,1,13,12,1,78,1,1
cal000037,la-vida-es-sueno,la-vida-es-sueno,Q138174,,false,Calderón,La vida es sueño,,0,several characters,3,3,13,12,2,0,0,0,3455,0,17433,17043,442,1635,,1636,1636,http://www.cervantesvirtual.com/obra-visor/la-vida-es-sueno--0/html/,,,,,,12,1,1,13,12,1,78,1,1
fre000826,lafont-naufrage,lafont-naufrage,,Comedy,false,Lafont,Le Naufrage ou La Pompe Funèbre de Crispin,Comédie,0,crispin,15,1,10,6,3,1,1,1,564,,5763,5112,431,,1710,1710,1710,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/LAFONT_NAUFRAGE.xml,http://theatre-classique.fr/pages/documents/LAFONT_NAUFRAGE.xml,,,,,5.8,0.6444444444444445,0.7883333333333333,10,8,1,29,3,1.4
fre000833,lagrange-chancel-amasis,lagrange-chancel-amasis,,Tragedy,false,Lagrange-Chancel,Amasis,Tragédie,0,amasis|arthenice,39,5,10,6,4,0,0,0,1553,,14306,13694,23,,1701,1701,1701,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/LAGRANGECHANCEL_AMASIS.xml,http://theatre-classique.fr/pages/documents/LAGRANGECHANCEL_AMASIS.xml,,,,,4.2,0.4666666666666667,0.6128571428571428,10,7,1,21,3,1.6222222222222222
ger######,lohenstein-epicharis,lohenstein-epicharis,,Tragedy,false,Lohenstein,Epicharis,,0,flavius_scevinus,28,5,59,41,5,13,2,0,3878,,34810,33009,425,,,1665,1665,http://www.textgridrep.org/textgrid:s4hw.0,,,,,,14.338983050847459,0.2472238457042665,0.8138015195820018,59,36,5,423,3,1.6551383399209487
ger######,lohenstein-ibrahim,lohenstein-ibrahim,,Tragedy,false,Lohenstein,Ibrahim,,0,soliman,24,5,22,9,2,11,3,157,1914,,20693,16867,237,,,1665,1665,http://www.textgridrep.org/textgrid:s4jp.0,,,,,,4.181818181818182,0.19913419913419914,0.7888888888888889,22,10,4,46,3,1.5119047619047619
span######,lope-galan-gastrucho,lope-galan-gastrucho,,,false,Lope de Vega y Carpio,El galán Castrucho,,0,several characters,3,3,17,14,3,0,1,0,3215,,17106,16505,528,1598,,,1598,,,,,,,13.882352941176471,0.8676470588235294,0.9180025856496444,17,16,1,118,2,1.1323529411764706
span######,lope-perseguido,lope-perseguido,,,false,Lope de Vega y Carpio,El perseguido,,0,several characters,3,3,19,16,3,0,0,0,3861,,20573,20228,334,1590,,,1590,,,,,,,12.105263157894736,0.672514619883041,0.8813171692428658,19,18,1,115,2,1.327485380116959
span######,lope-viuda-valenciana,lope-viuda-valenciana,,Comedy,false,Lope de Vega y Carpio,La viuda valenciana,,0,several characters,3,3,15,12,3,0,0,0,3161,,16756,16341,426,1595,,,1595,,,,,,,12.666666666666666,0.9047619047619048,0.9320457320457323,15,14,1,95,2,1.0952380952380953
span######,maldonado-costante-mujer,maldonado-costante-mujer,,Comedy,false,Maldonado,La más costante mujer,,2,several characters,3,3,8,4,4,0,0,0,2078,,11099,10884,274,,1658,1659,1658,https://dadun.unav.edu/bitstream/10171/59633/1/BIADIG61_DADUN.pdf,,,,,,7,1,1,8,7,1,28,1,1
ep000150,marlowe-dr-faustus,marlowe-dr-faustus,Q50919,Tragedy,false,Marlowe,Dr. Faustus,,0,ep000150-faustus,14,0,32,21,1,10,0,292,774,0,12343,11937,426,1588,,,1588,https://texts.earlyprint.org/works/A07009.xml,,,,,,8.3125,0.26814516129032256,0.876771978021978,32,27,1,133,3,1.7903225806451613
span######,matos-hidalgo-mancha,matos-hidalgo-mancha,,Comedy,false,Matos Fragoso,El hidalgo de la Mancha,,2,several characters,3,3,27,19,6,1,1,0,3328,,16969,16150,973,,1673,,1673,https://dadun.unav.edu/bitstream/10171/59633/1/BIADIG61_DADUN.pdf,,,,,,19.48148148148148,0.7492877492877493,0.8927414885309622,27,26,1,263,2,1.2507122507122508
fre######,matthieu-aman,matthieu-aman,,,false,Mathieu,Aman,,0,choeur,15,5,8,5,2,1,2,0,3695,,28727,27471,1221,1588,,1589,1589,https://books.google.de/books?id=H2JjAAAAcAAJ,,,,,,4,0.5714285714285714,0.7785714285714285,8,7,1,16,2,1.4285714285714286
ita######,memmolo-susanna,memmolo-susanna,,Tragedy,false,Memmolo,La Susanna,,0,coro,19,5,13,9,2,2,1,0,2783,,18689,17965,49,,,1632,1632,https://books.google.it/books?id=ec0PXJ6KRmkC,,,,,,4,0.3333333333333333,0.6249084249084249,13,8,1,26,4,2.0128205128205128
ger######,mitternacht-unglueckselige-soldat,mitternacht-unglueckselige-soldat,,Tragedy,false,Mitternacht,Der unglückselige Soldat,,0,ariophilus,32,5,59,48,4,7,0,255,179,,26529,22617,761,,1662,1662,1662,http://www.textgridrep.org/textgrid:sf41.0,,,,,,6.508474576271187,0.11221507890122735,0.7977251394728936,59,24,3,192,5,2.661654135338346
fre001024,moliere-sganarelle,moliere-sganarelle,Q3481105,Comedy,false,Molière,Sganarelle ou Le Cocu Imaginaire,Comédie,0,lelie|sganarelle,24,1,9,6,3,0,0,0,714,0,13090,7614,4617,,1660,1660,1660,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/MOLIERE_SGANARELLE.xml,http://theatre-classique.fr/pages/documents/MOLIERE_SGANARELLE.xml,,,,,4,0.5,0.6206349206349207,9,7,1,18,3,1.5277777777777777
fre001045,montchretien-carthaginoise,montchretien-carthaginoise,,Tragedy,false,Montchrestien,La Carthaginoise,Ou la Liberté,0,choeur|massinisse,6,5,10,5,4,1,1,0,1827,,17111,16755,0,,,1601,1601,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/MONTCHRETIEN_CARTHAGINOISE.xml,http://theatre-classique.fr/pages/documents/MONTCHRETIEN_CARTHAGINOISE.xml,,,,,4.2,0.4666666666666667,0.738095238095238,10,7,2,21,2,1.4166666666666667
span######,montenegro-toma-buda,montenegro-toma-buda,,,false,de Montenegro y Neira,La toma de Buda,,0,unión|fe,15,1,38,15,1,22,6,2,2620,,13298,12504,873,,,1687,1687,https://dadun.unav.edu/bitstream/10171/43471/1/BIADIG37.pdf,,,,,,11.736842105263158,0.31721194879089615,0.8123839979204981,38,22,1,223,4,1.9943100995732574
span######,monteser-caballero-olmedo,monteser-caballero-olmedo,,Tragedy,false,Monteser,El caballero de Olmedo,,0,several characters,3,3,11,7,2,2,1,0,2031,,11219,10914,281,1621,,,1621,,,,,,,10,1,1,11,10,1,55,1,1
span######,moreto-desden-con-desden,moreto-desden-con-desden,,Comedy,false,Moreto y Cavana,El desdén con el desdén,,0,several characters,3,3,11,6,5,0,2,0,3135,,16266,15900,430,1654,,,1654,,,,,,,9.636363636363637,0.9636363636363636,0.9676767676767678,11,10,1,53,2,1.0363636363636364
span######,moreto-lindo-don-diego,moreto-lindo-don-diego,,Comedy,false,Moreto y Cavana,El lindo don Diego,,0,several characters,5,1,8,7,4,0,0,0,1087,,6300,6197,223,1662,,,1662,,,,,,,7,1,1,8,7,1,28,1,1
ep000643,motteux-beauty-in-distress,motteux-beauty-in-distress,Q104858515,,false,Motteux,Beauty in Distress,,0,several characters,5,5,22,15,6,1,3,0,2286,0,34013,20676,1384,,,1698,1698,https://texts.earlyprint.org/works/A51496.xml,,,,,,16.105263157894736,0.8947368421052632,0.9339525283797732,19,18,1,153,2,1.105263157894737
ger######,murer-absolom,murer-absolom,,,false,Murer,Absolom,,0,absolom,21,5,83,72,7,4,2,1,2578,,19217,17918,1438,,1565,1565,1565,http://www.textgridrep.org/textgrid:sssj.0,,,,,,15.686746987951807,0.19130179253599766,0.8523458097364638,83,62,1,651,3,1.9770790478989126
ger######,murer-esther,murer-esther,,,false,Murer,Hester,,0,bigthan|haman|asverus,7,6,24,21,3,0,0,4,1247,,9295,8436,1200,,1567,1567,1567,https://books.google.de/books?id=jOpoAAAAcAAJ,https://doi.org/10.1515/9783111323718,,,,,14.416666666666666,0.6268115942028986,0.8420249369939774,24,22,1,173,3,1.4057971014492754
ep000215,nabbes-the-unfortunate-mother,nabbes-the-unfortunate-mother,Q20745553,Tragedy,false,Nabbes,The Unfortunate Mother,,0,several characters,5,5,14,10,3,1,0,0,2073,0,15033,14129,277,1639,,,1639,https://texts.earlyprint.org/works/A07979.xml,,,,,,12.714285714285714,0.978021978021978,0.9798534798534798,14,13,1,89,2,1.021978021978022
ita######,nolfi-romilda,nolfi-romilda,,Tragedy,false,Nolfi,Romilda,,0,laufredo,29,5,15,12,2,1,2,0,2276,,15799,15586,77,,,1643,1643,https://books.google.de/books?id=0k0WFpjlohcC,,,,,,5.333333333333333,0.38095238095238093,0.655911495911496,15,11,2,40,3,1.6703296703296704
ep000219,norton-sackville-gorboduc,norton-sackville-gorboduc,Q1038249,Tragedy,false,Norton,Gorboduc,,1,ep000219-eubulus,9,5,18,16,2,0,1,0,1780,0,15802,14366,39,1562,,,1562,https://texts.earlyprint.org/works/A08360.xml,,,,,,5.555555555555555,0.32679738562091504,0.7781866281866283,18,12,2,50,3,1.5360824742268042
ger######,opitz-judith,opitz-judith,,,false,Opitz,Judith,,0,judith,15,3,21,17,2,2,5,0,621,,5262,3938,9,,,1635,1635,http://www.textgridrep.org/textgrid:svt2.0,,,,,,4.476190476190476,0.22380952380952382,0.6947816733531019,21,13,1,47,4,2.1809523809523808
ita######,oransi-rosina,oransi-rosina,,Comedy,false,Oransi,Rosina,,0,pulcinella,40,3,13,11,2,0,0,734,0,,24975,24738,131,,,1652,1652,https://books.google.de/books?id=v8UARhd1wOwC,,,,,,7.846153846153846,0.6538461538461539,0.9445998445998446,13,12,1,51,2,1.3461538461538463
ep000227,peele-the-love-of-david-and-fair-bathsheba,peele-the-love-of-david-and-fair-bathsheba,,Tragedy,false,Peele,The Love of David and Fair Bathsheba,,0,ep000227-cusay,18,0,30,25,5,0,0,0,1896,,15738,15135,523,1590,,,1590,https://texts.earlyprint.org/works/A09228.xml,,,,,,9.533333333333333,0.32873563218390806,0.8117217188269821,30,26,1,143,3,1.696551724137931
ep000674,pix-ibrahim-the-thirteenth-emperor-of-the-turks,pix-ibrahim-the-thirteenth-emperor-of-the-turks,Q65054481,,false,Pix,"Ibrahim, the Thirteenth Emperor of the Turks",,0,ep000674-sheker-para|ep000674-achmet|ep000674-mustapha,6,5,15,11,4,0,1,0,1720,0,13804,12475,462,,,1696,1696,https://texts.earlyprint.org/works/A54958.xml,,,,,,10.8,0.7714285714285715,0.8884959484959485,15,14,1,81,2,1.2285714285714286
ep000679,porter-the-carnival,porter-the-carnival,Q25204117,,false,Porter,The Carnival,,0,several characters,7,5,22,17,5,0,1,357,1822,0,17371,16291,800,,,1664,1664,https://texts.earlyprint.org/works/A55490.xml,,,,,,17.545454545454547,0.8354978354978355,0.9096015439668691,22,21,1,193,2,1.1645021645021645
fre001200,racine-thebaide-64,racine-thebaide-64,Q3213141,Tragedy,false,Racine,La Thébaïde,Ou les Frères Ennemis,0,jocaste,25,5,9,6,3,0,0,0,1693,0,15842,15289,24,,1664,1664,1664,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/RACINE_THEBAIDE64.xml,http://theatre-classique.fr/pages/documents/RACINE_THEBAIDE64.xml,,,,,5.555555555555555,0.6944444444444444,0.8441798941798941,9,8,1,25,2,1.3055555555555556
ep000698,ravenscroft-dame-dobson,ravenscroft-dame-dobson,,,false,Ravenscroft,"Dame Dobson, or The Cunning Woman",,0,ep000698-dame-dobson|ep000698-beatrice|ep000698-hartwell,29,5,19,7,12,0,0,1446,2,,35582,34162,1055,,,1684,1684,https://texts.earlyprint.org/works/A58111.xml,,,,,,14.210526315789474,0.7894736842105263,0.9355779153766769,19,18,1,135,2,1.2105263157894737
ger000600,reuter-der-ehrlichen-frau-schlampampe-krankheit-und-tod,reuter-der-ehrlichen-frau-schlampampe-krankheit-und-tod,Q116058683,Comedy,false,Reuter,La Maladie & la mort de l'honnéte Femme. Das ist: Der ehrlichen Frau Schlampampe Krankheit und Tod,in einem Lust- und Trauerspiele vorgestellet und aus dem Französischen in das Teutsche übergesetzt von Schelmuffsky Reise-Gefährten,0,camille,38,3,16,11,5,0,0,718,4,0,14600,14224,543,,,1696,1696,http://www.textgridrep.org/textgrid:t9qb.0,,Volksverlag,Weimar,1962,60,9.25,0.6166666666666667,0.8977564102564102,16,15,1,74,2,1.3833333333333333
ita######,riccoboni-tito-manlio,riccoboni-tito-manlio,,Tragedy,false,Riccoboni,Tito Manlio,,0,servilia|decio,45,3,10,7,2,1,1,508,0,,16492,16212,140,,,1707,1707,https://www.archive.org/details/bub_gb_eIYzm0s7shwC,,,,,,5,0.5555555555555556,0.6842857142857144,10,8,1,25,3,1.511111111111111
ger######,rinckart-eislebische-ritter,rinckart-eislebische-ritter,,,false,Rinckart,Der eislebische christliche Ritter,,0,martin,39,5,27,25,2,0,4,1,2457,,19350,16246,2996,1613,,,1613,https://books.google.de/books?id=bYYbAAAAYAAJ,,,,,,8.74074074074074,0.33618233618233617,0.7357884629552717,27,24,1,118,3,1.6837606837606838
ger######,rist-irenaromachia,rist-irenaromachia,,Tragicomedy,false,Rist,Irenaromachia,,0,several characters,3,3,15,11,4,0,0,158,179,,11412,9458,385,,,1630,1630,http://www.textgridrep.org/textgrid:tftj.0,,,,,,6.8,0.4857142857142857,1,15,8,2,51,1,1
ger######,rist-perseus,rist-perseus,,Tragedy,false,Rist,Perseus,,0,hans|didas,24,3,16,14,2,0,0,403,99,,38263,35576,2478,,1634,1634,1634,http://www.textgridrep.org/textgrid:tg23.0,,,,,,9.125,0.6083333333333333,0.8264312076812077,16,14,1,73,3,1.4
span######,rojas-entre-bobos,rojas-entre-bobos,,Comedy,false,Rojas Zorrilla,Entre bobos anda el juego,,0,several characters,3,3,16,12,4,0,1,4,3192,,16348,15897,544,1638,,,1638,,,,,,,14.125,0.9416666666666667,0.9666666666666668,16,15,1,113,2,1.0583333333333333
span######,rojas-lo-que-son-mujeres,rojas-lo-que-son-mujeres,,Comedy,false,Rojas Zorrilla,Lo que son mujeres,,0,several characters,3,3,12,7,5,0,1,0,3358,,16068,15876,195,1644,,,1644,,,,,,,11,1,1,12,11,1,66,1,1
ger######,rollenhagen-reichen-mann,rollenhagen-reichen-mann,,,false,Rollenhagen,Vom reichen Mann und armen Lazaro,,0,porphyrius,51,5,61,54,7,0,2,0,3606,,26068,23389,635,,1590,1590,1590,http://www.textgridrep.org/textgrid:tg9f.0,,,,,,9.60655737704918,0.16010928961748633,0.7962320455436047,61,38,1,293,4,2.246448087431694
span######,romero-aunca-razones-bastan,romero-aunca-razones-bastan,,,false,Romero,"Aunque las razones basten, nunca la Justicia sobra",,0,several characters,3,3,24,4,3,17,1,0,2418,,12536,11906,689,,,1701,1701,https://books.google.de/books?id=oLZXAAAAcAAJ,,,,,,18.833333333333332,0.8188405797101449,0.9135111604219156,24,23,1,226,2,1.181159420289855
ep000854,rowe-the-fair-penitent,rowe-the-fair-penitent,,,false,Rowe,"The fair penitent. A tragedy. Written by N. Rowe, Esq;",,0,several characters,6,5,10,7,3,0,0,4,1925,,18481,16578,484,,,1714,1714,https://texts.earlyprint.org/works/C14220.xml,,,,,,8,0.8888888888888888,0.9186507936507937,10,9,1,40,2,1.1111111111111112
fre001469,saint-glas-bouts-rimes,saint-glas-bouts-rimes,,Comedy,false,Saint-Glas,Les Bouts Rimés,Comédie,0,du-rimet,17,1,14,11,2,1,0,301,50,,8865,8197,179,,,1682,1682,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/SAINT-GLAS_BOUTSRIMES.xml,http://theatre-classique.fr/pages/documents/SAINT-GLAS_BOUTSRIMES.xml,,,,,4.142857142857143,0.31868131868131866,0.8492063492063492,14,9,2,29,2,1.5
ita######,salviati-granchio,salviati-granchio,,Comedy,false,Salviati,Il granchio,,0,granchio|vanni,29,5,9,8,1,0,0,926,0,,26016,24755,361,,1566,,1566,https://archive.org/details/bub_gb_x3zrvqkCWvEC/,,,,,,4,0.5,0.5629629629629629,9,6,1,18,3,1.5555555555555556
ita000128,scala-il-finto-marito,scala-il-finto-marito,Q83965808,Comedy,false,Scala,Il finto marito,,0,several characters,42,5,12,9,3,0,0,1420,4,0,41214,40588,193,,,1618,1618,http://www.bibliotecaitaliana.it/testo/bibit001491,,UTET,Torino,1982,,9,1,1,10,9,1,45,1,1
ger######,schlue-isaac,schlue-isaac,,,false,Schlue,Isaac,,0,abraham,9,8,25,18,3,4,1,0,1577,,13846,11042,2271,,,1606,1606,https://books.google.de/books?id=ov4hjSIAi0EC,,,,,,8.24,0.3433333333333333,0.8252927072927073,25,15,1,103,4,2.1066666666666665
ger######,schoch-comoedia-studenten,schoch-comoedia-studenten,,Comedy,false,Schoch,Comoedia vom Studenten-Leben,,0,pickelhering,43,6,44,37,6,0,4,666,0,,33120,28460,4319,,,1657,1657,https://www.deutschestextarchiv.de/schoch_comoedia_1658,,,,,,5.363636363636363,0.12473572938689217,0.7627151105599381,44,29,5,118,3,1.9036827195467423
ep000731,shadwell-the-libertine,shadwell-the-libertine,Q28457734,,false,Shadwell,The Libertine,,0,several characters,11,5,53,22,22,10,11,1206,455,0,28763,25521,1014,,,1676,1676,https://texts.earlyprint.org/works/A59432.xml,,,,,,25.20754716981132,0.4847605224963715,0.8938755153470813,53,52,1,668,2,1.5152394775036284
ep000751,shirley-the-court-secret,shirley-the-court-secret,Q16828249,Tragicomedy,false,Shirley,The Court Secret,,0,several characters,5,5,18,14,4,0,0,1,2607,0,20110,19231,399,1642,,,1642,https://texts.earlyprint.org/works/A59992_06.xml,,,,,,15.11111111111111,0.8888888888888888,0.9238247863247864,18,17,1,136,2,1.1111111111111112
ep000268,shirley-the-example,shirley-the-example,Q7732739,Comedy,false,Shirley,The Example,,0,several characters,6,5,20,13,5,1,1,14,2436,0,19600,18811,415,1634,,,1634,https://texts.earlyprint.org/works/A12136.xml,,,,,,16.6,0.8736842105263158,0.9259206840630991,20,19,1,166,2,1.1263157894736842
ep000262,shirley-the-martyred-soldier,shirley-the-martyred-soldier,,Tragedy,false,Shirley,The Martyred Soldier,,0,several characters,5,5,28,24,2,3,3,361,1753,,18578,17265,415,1618,,,1618,https://texts.earlyprint.org/works/A12127.xml,,,,,,18.714285714285715,0.6931216931216931,0.873160099214173,28,27,1,262,2,1.306878306878307
ger######,stranitzky-tuerckisch-bestraffter-hochmuth,stranitzky-tuerckisch-bestraffter-hochmuth,,,false,Stranitzky,Türckisch-bestraffter Hochmuth,,0,stahrenberg|hanswurst,33,3,26,21,4,1,1,328,200,,19125,17945,1972,,1685,1993,1685,http://www.textgridrep.org/textgrid:w3xk.0,,,,,,7.6923076923076925,0.3076923076923077,0.7648780706473013,26,16,1,100,4,1.9723076923076923
fre001375,subligny-folle-querelle,subligny-folle-querelle,,Comedy,false,Subligny,La Folle Querelle ou La Critique d'Andromaque,Comédie Représentée par la Troupe du Roi.,0,eraste|alcipe|la-vicomtesse,32,2,9,5,4,0,0,606,49,,17323,13825,121,,1668,1668,1668,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/SUBLIGNY_FOLLEQUERELLE.xml,http://theatre-classique.fr/pages/documents/SUBLIGNY_FOLLEQUERELLE.xml,,,,,5.333333333333333,0.6666666666666666,0.7248677248677248,9,7,1,24,3,1.3611111111111112
cal000053,suenos-hay-que-verdad-son,suenos-hay-que-verdad-son,Q69031569,,false,Calderón,Sueños hay que verdad son,Auto sacramental alegórico intitulado,0,several characters,6,1,27,22,5,0,0,0,2290,0,11591,11122,570,1670,,1717,1670,http://www.cervantesvirtual.com/obra-visor/suenos-hay-que-verdad-son--0/html/,,,,,,23.037037037037038,0.886039886039886,0.9772079772079773,27,26,1,311,2,1.1139601139601139
fre######,taille-corrivaus,taille-corrivaus,,Comedy,false,La Taille,Les Corrivaus,,0,benard,25,5,15,11,4,0,0,445,0,,14628,13068,105,1562,,1573,1562,https://archive.org/details/uvresdejeandela02ariogoog,,,,,,5.866666666666666,0.41904761904761906,0.5697354497354498,15,9,1,44,3,1.6857142857142857
ita000133,tasso-aminta,tasso-aminta,Q471831,,false,Tasso,Aminta,,0,coro,11,5,10,6,3,1,1,0,2091,0,14066,13965,30,,1573,1580,1573,http://www.bibliotecaitaliana.it/testo/bibit000763,,L. S. Olschki,Firenze,1999,,3,0.3333333333333333,0.5747619047619048,10,7,3,15,2,1.4642857142857142
ita000135,tasso-intrichi-d-amore,tasso-intrichi-d-amore,Q84178663,Comedy,false,Tasso,Intrichi d'Amore,,0,several characters,63,5,15,9,6,0,0,1861,0,0,49229,48964,15,,1598,1603,1598,http://www.bibliotecaitaliana.it/testo/bibit001343,,Lexis Progetti Editoriali,Roma,1997,,12,0.8571428571428571,0.8927132127132127,15,14,1,90,2,1.1428571428571428
ita######,testi-isola-alcina,testi-isola-alcina,,Tragedy,false,Testi,L'isola di Alcina,,0,ruggiero,18,5,15,9,6,0,3,0,1262,,7555,7431,52,,,1648,1648,https://books.google.de/books?id=4JhMp0A3_GUC,,,,,,4,0.2857142857142857,0.7835786435786436,15,11,2,30,3,1.8021978021978022
ep000767,tomkis-lingua,tomkis-lingua,,Comedy,false,Tomkis,"Lingua, or The Combat of the Tongue and the Five Senses for Superiority",,0,ep000767-phantastes,51,5,21,1,0,20,0,801,1158,,29578,27120,1645,1657,,,1657,https://texts.earlyprint.org/works/A62894.xml,,,,,,12.476190476190476,0.6238095238095238,0.8478655515696646,21,19,1,131,3,1.380952380952381
ita000137,torelli-la-merope,torelli-la-merope,Q84176607,Tragedy,false,Torelli,La Merope,,0,several characters,8,1,8,5,3,0,1,0,2699,0,19171,18597,10,,,1589,1589,http://www.bibliotecaitaliana.it/testo/bibit000311,,Bulzoni,Ravenna,1999,,6.5,0.9285714285714286,0.9404761904761905,8,7,1,26,2,1.0714285714285714
