id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource/0,digitalSource/1,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
fre######,bienvenu-monde-malait,bienvenu-monde-malait,,Comedy,false,Bienvenu,Comédie du monde malade et mal pansé,,0,several characters,4,1,9,6,0,3,0,0,911,,6294,5907,469,,1568,,1568,https://books.google.de/books?id=raE-AAAAYAAJ,,,,,,8,1,1,9,8,1,36,1,1
ita######,bonicelli-pantalone-bullo,bonicelli-pantalone-bullo,,Comedy,false,Bonicelli,Pantalone Bullo,overo La pusillanimità coverta,0,pantalone,52,3,20,16,4,0,0,445,63,,14749,13238,1609,,,1688,1688,https://www.usc.gal/goldoni/bancadati/34,,,,,,4.7,0.24736842105263157,0.7415441176470589,20,17,1,47,3,1.7842105263157895
ger######,braunschweig-fleischhawer,braunschweig-fleischhawer,,Comedy,false,Braunschweig-Lüneburg,Der Fleischhawer,,0,matz,27,5,22,19,3,0,0,215,330,,16437,16146,670,1593,,1885,1593,http://www.textgridrep.org/textgrid:pvpz.0,,,,,,6.2727272727272725,0.2987012987012987,0.6762452194270375,22,13,1,69,3,1.87012987012987
ger######,braunschweig-ungeratenen-sohn,braunschweig-ungeratenen-sohn,,Tragedy,false,Braunschweig-Lüneburg,Von einem ungeratenen Sohn,,0,nero,49,7,16,12,4,0,0,282,123,,18933,18249,2651,,,1594,1594,http://www.textgridrep.org/textgrid:pvq4.0,,,,,,7.375,0.49166666666666664,0.8109126984126984,16,15,1,59,2,1.5083333333333333
ita######,bregolini-pausania,bregolini-pausania,,Tragedy,false,Bregolini,Pausania,,0,several characters,32,5,21,15,6,0,0,0,2926,,16414,16104,68,,,1679,1679,https://books.google.de/books?id=pK5-jUqlVUYC,,,,,,6.095238095238095,0.3047619047619048,0.44024943310657594,21,11,2,64,5,2.0157894736842104
fre000220,campistron-juba,campistron-juba,,Tragedy,false,Campistron,"Juba, Roi de Mauritanie",Tragédie,0,barce|juba,26,5,7,5,2,0,0,0,1157,,10285,10101,0,,,1685,1685,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/CAMPISTRON_JUBA.xml,http://theatre-classique.fr/pages/documents/CAMPISTRON_JUBA.xml,,,,,3.142857142857143,0.5238095238095238,0.7333333333333333,7,5,1,11,3,1.5238095238095237
span######,castro-mocedades-cid,castro-mocedades-cid,,,false,Castro,Las mocedades del Cid (I),,0,several characters,3,3,35,31,4,0,0,0,3273,,16672,15858,899,1605,,,1605,,,,,,,22,0.6470588235294118,0.8973444855797797,35,34,1,385,2,1.3529411764705883
ita000051,cecchini-l-amico-tradito,cecchini-l-amico-tradito,Q84264636,Comedy,false,Cecchini,L'amico tradito,,0,several characters,66,3,12,9,3,0,0,635,0,0,13508,12645,666,,,1633,1633,http://www.bibliotecaitaliana.it/testo/bibit000920,,UTET,Torino,1982,,6.5,0.5909090909090909,0.7886904761904763,12,9,2,39,2,1.290909090909091
ep000853,centlivre-the-man-s-bewitch-d,centlivre-the-man-s-bewitch-d,,,false,Centlivre,"The man's bewitch'd; or, the devil to do about her. A comedy, as it is acted at the New-Theatre in the Hay-Market; by Her Majesty's servants. By Susan",,0,several characters,12,5,19,14,5,0,1,1073,52,,26981,24092,716,,,1709,1709,https://texts.earlyprint.org/works/C03530.xml,,,,,,14.31578947368421,0.7953216374269005,0.9235638114895082,19,18,1,136,2,1.2046783625730995
span######,cervantes-cerco-numancia,cervantes-cerco-numancia,,Tragedy,false,de Cervantes Saavedra,El cerco de Numancia,,0,teogenes|marandro,4,4,46,32,8,6,2,0,2458,,16132,15175,1097,1585,,,1585,,,,,,,17.782608695652176,0.39516908212560387,0.9148500049407188,46,39,1,409,3,1.6685990338164252
