,name,language,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,datePremiered,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector
71,la-vida-es-sueno,ESP,0,1636,13,1.0,1.0,1.0,12.0,1,0,12,13,2,12,0,0,1,78,3,3,17433,17043,442,0,3455,0.0,1.0,0.2773500981126146
72,lafont-naufrage,FRE,Comedy,1710,10,0.7883333333333333,0.6444444444444445,1.4,5.8,3,1710-06-14,8,10,3,6,1,1,1,29,15,1,5763,5112,431,1,564,0.049999999999999996,0.7357892107892108,0.3039607035235716
73,lagrange-chancel-amasis,FRE,Tragedy,1701,10,0.6128571428571428,0.4666666666666667,1.6222222222222222,4.2,3,1701-12-13,7,10,4,6,0,0,1,21,39,5,14306,13694,23,0,1553,0.07777777777777778,0.6457712682054787,0.2865463421670025
74,lohenstein-epicharis,GER,Tragedy,1665,59,0.8138015195820018,0.2472238457042665,1.6551383399209487,14.33898305084746,3,0,36,59,5,41,13,2,5,423,28,5,34810,33009,425,0,3878,0.0067981174444000135,0.3716673471302587,0.09689799674535686
75,lohenstein-ibrahim,GER,Tragedy,1665,22,0.7888888888888889,0.1991341991341991,1.511904761904762,4.181818181818182,3,0,10,22,2,9,11,3,4,46,24,5,20693,16867,237,157,1914,0.009307359307359308,0.2570927491145315,0.1455207878608846
76,lope-galan-gastrucho,ESP,0,1598,17,0.9180025856496444,0.8676470588235294,1.1323529411764706,13.882352941176473,2,0,16,17,3,14,0,1,1,118,3,3,17106,16505,528,0,3215,0.008823529411764706,0.8953915143315981,0.24055643436461838
77,lope-perseguido,ESP,0,1590,19,0.8813171692428658,0.672514619883041,1.327485380116959,12.105263157894736,2,0,18,19,3,16,0,0,1,115,3,3,20573,20228,334,0,3861,0.01926384588923289,0.7752102969494273,0.22351780353688755
78,lope-viuda-valenciana,ESP,Comedy,1595,15,0.9320457320457324,0.9047619047619048,1.0952380952380951,12.666666666666666,2,0,14,15,3,12,0,0,1,95,3,3,16756,16341,426,0,3161,0.007326007326007325,0.9236928104575164,0.256728136862584
79,maldonado-costante-mujer,ESP,Comedy,1658,8,1.0,1.0,1.0,7.0,1,0,7,8,4,4,0,0,1,28,3,3,11099,10884,274,0,2078,0.0,1.0,0.3535533905932738
80,marlowe-dr-faustus,ENG,Tragedy,1588,32,0.876771978021978,0.2681451612903225,1.7903225806451613,8.3125,3,0,27,32,1,21,10,0,1,133,14,0,12343,11937,426,292,774,0.026344086021505377,0.5713458985331504,0.1460503486206951
