,name,language,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,all-in_index,final_scene_size,drama_change_rate,protagonism,mediateness
133,tristan-parasite,FRE,Comedy,1654.0,10.0,0.9123015873015874,0.7777777777777778,1.2222222222222223,7.0,2.0,9.0,10.0,4.0,5.0,1.0,0.0,1.0,35.0,31.0,5.0,18656.0,16874.0,23.0,0.0,1949.0,0.6451612903225806,0.6,0.56,0.001472554581043203,0.40849056721545546
134,turnebe-contents,FRE,Comedy,1584.0,16.0,0.6109494671994672,0.4583333333333333,1.5666666666666669,6.875,3.0,13.0,16.0,5.0,10.0,1.0,0.0,1.0,55.0,35.0,1.0,31423.0,29883.0,0.0,777.0,0.0,0.7714285714285715,0.375,0.7523809523809525,0.010651395041986216,0.9289711664440297
135,urfe-sylvanire,FRE,0,1617.0,14.0,0.8199855699855699,0.5604395604395604,1.3461538461538465,7.285714285714286,2.0,11.0,14.0,5.0,7.0,2.0,0.0,2.0,51.0,51.0,5.0,50687.0,50352.0,5.0,0.0,9537.0,0.6078431372549019,0.6428571428571429,0.633,0.007404741078914177,0.7676959929728938
136,vega-duquesa-de-rosa,ESP,Comedy,1566.0,26.0,0.8883548995761271,0.3107692307692307,1.7138461538461538,7.769230769230769,3.0,23.0,26.0,1.0,20.0,5.0,0.0,1.0,101.0,10.0,1.0,9107.0,8551.0,411.0,558.0,50.0,1.0,0.15384615384615385,0.7770350020350021,0.0,0.4472135954999579
137,vega-seraphina,ESP,Tragedy,1566.0,14.0,0.8247010925582353,0.5164835164835165,1.4835164835164836,6.714285714285714,2.0,12.0,14.0,3.0,10.0,1.0,0.0,1.0,47.0,8.0,1.0,8341.0,7901.0,148.0,486.0,26.0,1.0,0.35714285714285715,0.6719387755102042,0.008458422093766235,0.8367928204464999
138,velez-serrana-vera,ESP,Tragedy,1613.0,39.0,0.9227249712818476,0.7597840755735492,1.2402159244264508,28.871794871794872,2.0,38.0,39.0,5.0,30.0,4.0,0.0,1.0,563.0,3.0,3.0,18926.0,17702.0,1224.0,0.0,3576.0,1.0,0.48717948717948717,0.6008522727272727,0.0038090552769966613,0.6960158334016701
139,viau-pasiphae,FRE,Tragedy,1627.0,25.0,0.9001649578491683,0.3366666666666666,1.79,8.08,3.0,20.0,25.0,4.0,8.0,13.0,0.0,1.0,101.0,5.0,5.0,13505.0,12924.0,0.0,0.0,1476.0,1.0,0.28,0.8859351432880845,0.005859207412844348,0.7575467253599633
140,viau-pyrame,FRE,Tragedy,1617.0,12.0,0.2916666666666667,0.1666666666666666,2.0,1.8333333333333333,4.0,4.0,12.0,4.0,7.0,1.0,0.0,3.0,11.0,12.0,5.0,12285.0,12188.0,0.0,0.0,1261.0,0.75,0.08333333333333333,0.9287878787878786,0.006528231454162884,0.7676791393281887
141,virey-machabee,FRE,Tragedy,1596.0,18.0,1.0,1.0,1.0,17.0,1.0,17.0,18.0,2.0,16.0,0.0,0.0,1.0,153.0,1.0,1.0,12545.0,12316.0,210.0,0.0,1438.0,0.75,0.08333333333333333,0.9287878787878786,0.016508829589538702,0.8500769581656176
142,virues-la-gran-semiramis,ESP,Tragedy,1579.0,15.0,0.8938542938542938,0.7523809523809524,1.2476190476190476,10.533333333333331,2.0,14.0,15.0,1.0,13.0,1.0,0.0,1.0,79.0,3.0,3.0,15125.0,14596.0,462.0,0.0,2341.0,1.0,0.6,0.538961038961039,0.00950248617304693,0.6174565099532202
