language;id;author;author_wikidata;title;title_wikidata;genre;year_normalized
ITA;15; Pier Maria Cecchini;Q3902918;L'amico tradito;n/a;COM;1633
ITA;16; Decio Memmolo;Q110953695;La Susanna;n/a;TRAG;1632
ITA;17; Vincenzo Nolfi;Q25930112;Romilda;n/a;TRAG;1643
ITA;18; Fulvio Testi;Q594614;L'isola di Alcina;n/a;TRAG;1648
ITA;19; Giovanni Oransi;Q114269706;Rosina;n/a;COM;1652
ITA;20; Carlo De' Dottori;Q3659984;Aristodemo;Q3622694;TRAG;1657
ITA;21; Giacinto Andrea Cicognini;Q653588;Il Mustafà;n/a;DRA;1663
ITA;22; Mattias Maria Bartolommei;Q55225369;Amore opera a caso;n/a;COM;1668
ITA;23; Girolamo Graziani;Q3768936;Il Cromuele;Q3792648;TRAG;1671
ITA;24; Giovanni Domenico Bregolini;Q110953728;Pausania;n/a;TRAG;1679
ITA;25; Girolamo Gigli;Q3768932;Un pazzo guarisce l'altro;n/a;COM;1687
ITA;26; Giovanni Bonicelli;Q87067866;Pantalone bullo;n/a;COM;1688
ITA;27; Alessandro Guidi;Q3610064;Endimione;n/a;PAST;1692
ITA;28; Girolamo Gigli;Q3768932;I litiganti overo Il giudice impazzato;n/a;COM;1695
ITA;29; Niccolò Amenta;Q3875827;La somiglianza;n/a;COM;1706
ITA;30; Luigi Lodovico Riccoboni;Q3266530;Tito Manlio;n/a;TRAG;1707
SPA;1; Alonso de  La Vega;Q5670429;Seraphina;n/a;TRAG;1566
SPA;2; Alonso de  La Vega;Q5670429;La Duquesa de la Rosa;n/a;COM;1566
SPA;3; Andrés Rey de Artieda;Q2835691;Los amantes;n/a;TRAG;1577
SPA;4; Cristóbal de Virués;Q1140501;La gran Semíramis;n/a;TRAG;1579
SPA;5; Miguel de Cervantes;Q5682;El cerco de Numancia;Q290051;TRAG;1585
SPA;6; Félix Lope de Vega y Carpio;Q165257;El perseguido;n/a;COM;1590
SPA;7; Félix Lope de Vega y Carpio;Q165257;La viuda valenciana;Q3726536;COM;1595
SPA;8; Félix Lope de Vega y Carpio;Q165257;El galán castrucho;Q47502060;COM;1598
SPA;9; Antonio Mira de Amescua;Q1773549;El esclavo del demonio;Q8773743;DRA;1605
SPA;10; Guillén de Castro;Q457209;Las mocedades del Cid;Q2882637;DRA;1605
SPA;11; Luis  Vélez de Guevara;Q1305828;La serrana de la vera;n/a;TRAG;1613
SPA;12; Juan Ruiz de Alarcón y Mendoza;Q356532;La verdad sospechosa;Q5968390;COM;1619
SPA;13; Francisco de  Monteser;Q5483139;El caballero de Olmedo;n/a;COM;1621
SPA;14; María de  Zayas Sotomayor;Q2905689;La traición en la amistad;n/a;COM;1630
SPA;15; Pedro Calderón de la Barca;Q170800;La vida es sueno;Q138174;DRA;1635
SPA;16; Francisco de Rojas Zorrilla;Q1442310;Entre bobos anda el juego;Q5834363;COM;1638
SPA;17; Francisco de Rojas Zorrilla;Q1442310;Lo que son mujeres;n/a;COM;1644
SPA;18; Pedro Calderón de la Barca;Q170800;La segunda esposa;n/a;AUTO;1648
