,name,language,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector,all_in_index,final_scene_size,drama_change_rate,averageCharinScene,avg_max_degree_ratio,max_degree_num_char_ratio,lowWeightedDegree,mediumWeightedDegree,highWeightedDegree,averageCharSpeech,lowSpeech,mediumSpeech,highSpeech,protagonism,mediateness
0,abeille-argelie,FRE,Tragedy,1674,8,0.8220238095238095,0.6071428571428571,1.3928571428571428,4.25,2,7,8,4,4,0,0.0,1,17,29,5,17307,15962,0,0,1884,0.06547619047619047,0.7416982323232323,0.33814295306639913,0.3793103448275862,0.375,0.6464285714285715,2.0,0.6071428571428571,1.0,0.375,0.25,0.375,8.25,0.375,0.25,0.375,0.0068067743536476145,0.8916309815169778
1,alarcon-verdad-sospechosa,ESP,Comedy,1619,14,0.7699649556792414,0.5054945054945055,1.5934065934065933,6.571428571428571,3,11,14,3,11,0,0.0,1,46,41,3,16919,16461,473,1,3306,0.04945054945054945,0.6608466660481829,0.2431203018946239,0.926829268292683,0.5714285714285714,0.6391666666666669,3.0,0.5974025974025974,0.8461538461538461,0.35714285714285715,0.2857142857142857,0.35714285714285715,4.99,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.01754172324796349,0.5493558858726955
2,amenta-somiglianza,ITA,Comedy,1706,13,0.9032800532800532,0.8846153846153846,1.1153846153846154,10.615384615384617,2,12,13,4,9,0,0.0,1,69,67,5,34634,33671,1282,2373,0,0.01048951048951049,0.9049027895181742,0.27563351492257726,0.19402985074626866,0.7692307692307693,0.629455266955267,3.0,0.8846153846153846,1.0,0.3076923076923077,0.3076923076923077,0.38461538461538464,14.24,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.002502257439542252,0.412395364310773
3,amescua-esclavo-demonio,ESP,0,1605,23,0.9317423994769533,0.8695652173913043,1.1304347826086956,19.130434782608692,2,22,23,4,17,2,0.0,1,220,3,3,18153,17413,742,0,3516,0.006211180124223604,0.899261153736857,0.2058518095569877,1.0,0.782608695652174,0.41785714285714287,16.0,0.8695652173913043,1.0,0.34782608695652173,0.2608695652173913,0.391304347826087,5.0,0.34782608695652173,0.30434782608695654,0.34782608695652173,0.01697303766600059,0.32964696154788176
4,andreini-lo-schiavetto,ITA,Comedy,1612,24,0.8599951862722762,0.6123188405797102,1.391304347826087,14.083333333333334,3,22,24,2,21,1,0.0,1,169,46,5,41485,38458,258,1659,40,0.017786561264822132,0.7399504459354848,0.19152592735089718,0.8695652173913043,0.625,0.6621717480050814,4.0,0.6401515151515151,0.9565217391304348,0.3333333333333333,0.3333333333333333,0.3333333333333333,19.92,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.004264590839686544,0.6689282106477303
5,anonym-lustig-pickelherings-spiel,GER,Comedy,1620,3,1.0,1.0,1.0,2.0,1,2,3,1,2,0,0.0,1,3,2,2,3855,3820,194,63,63,0.0,1.0,0.5773502691896258,0.5,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,29.27,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
6,anonym-macht-kleines-knaben,GER,Comedy,1630,7,0.8571428571428571,0.7619047619047619,1.238095238095238,4.571428571428571,2,6,7,2,4,1,0.0,1,16,21,5,14899,14673,535,0,383,0.047619047619047616,0.8333333333333334,0.37124886788108347,0.9523809523809523,0.5714285714285714,0.8608333333333335,2.0,0.7619047619047619,1.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,52.17,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0024069935762111518,0.5773502691896257
7,artieda-los-amantes,ESP,Tragedy,1577,19,0.767476383265857,0.4502923976608187,1.6198830409356726,8.105263157894736,3,14,19,4,12,3,0.0,1,77,16,4,10701,9680,225,1,1664,0.03646370829033368,0.6342766714990855,0.2143521268764253,1.0,0.3684210526315789,0.8197619047619047,4.0,0.5789473684210525,0.7777777777777778,0.3157894736842105,0.3157894736842105,0.3684210526315789,6.05,0.3157894736842105,0.3157894736842105,0.3684210526315789,0.013261517383280436,0.5772637843389011
8,bailey-the-spiteful-sister,ENG,0,1667,51,0.8820613872891465,0.6321568627450981,1.367843137254902,31.607843137254903,2,50,51,11,37,3,0.0,1,806,5,5,19376,17985,1064,485,1567,0.007507002801120444,0.749090394812383,0.13459103135110348,1.0,0.5882352941176471,0.5719292803970223,4.0,0.5789473684210525,0.7777777777777778,0.3157894736842105,0.3157894736842105,0.3684210526315789,6.05,0.3157894736842105,0.3157894736842105,0.3684210526315789,0.013261517383280436,0.5772637843389011
9,bances-esclavo-grillos,ESP,0,1692,21,0.9771929824561404,0.9666666666666668,1.0333333333333334,19.33333333333333,2,20,21,5,15,1,0.0,1,203,3,3,18702,18175,529,0,3890,0.0017543859649122803,0.9717813051146384,0.21765909531709074,0.6666666666666666,0.6190476190476191,0.36547619047619045,16.0,0.9666666666666666,1.0,0.3333333333333333,0.09523809523809523,0.5714285714285714,4.78,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.2773500981126146
